weight,max_iter,PSNR
0.1,100,21.0390453822314
0.1,150,21.0390453822314
0.1,200,21.0390453822314
0.1,250,21.0390453822314
0.15,100,21.350820199570197
0.15,150,21.350820199570197
0.15,200,21.350820199570197
0.15,250,21.350820199570197
0.2,100,21.592327221125803
0.2,150,21.592327221125803
0.2,200,21.592327221125803
0.2,250,21.592327221125803
0.25,100,21.786591243953325
0.25,150,21.786591243953325
0.25,200,21.786591243953325
0.25,250,21.786591243953325
