weight,eps,max_iter,PSNR
0.05,0.0001,100,27.06261157285968
0.05,0.0001,150,27.06261157285968
0.05,0.0001,200,27.06261157285968
0.05,0.0001,250,27.06261157285968
0.05,0.001,100,27.090617133815602
0.05,0.001,150,27.090617133815602
0.05,0.001,200,27.090617133815602
0.05,0.001,250,27.090617133815602
0.05,0.01,100,27.219915252418033
0.05,0.01,150,27.219915252418033
0.05,0.01,200,27.219915252418033
0.05,0.01,250,27.219915252418033
0.05,0.1,100,27.227838589504394
0.05,0.1,150,27.227838589504394
0.05,0.1,200,27.227838589504394
0.05,0.1,250,27.227838589504394
0.1,0.0001,100,26.511104552422566
0.1,0.0001,150,26.511104552422566
0.1,0.0001,200,26.511104552422566
0.1,0.0001,250,26.511104552422566
0.1,0.001,100,26.609328597807654
0.1,0.001,150,26.609328597807654
0.1,0.001,200,26.609328597807654
0.1,0.001,250,26.609328597807654
0.1,0.01,100,27.022010221215265
0.1,0.01,150,27.022010221215265
0.1,0.01,200,27.022010221215265
0.1,0.01,250,27.022010221215265
0.1,0.1,100,27.230664996896806
0.1,0.1,150,27.230664996896806
0.1,0.1,200,27.230664996896806
0.1,0.1,250,27.230664996896806
0.15,0.0001,100,25.88354769538652
0.15,0.0001,150,25.88354769538652
0.15,0.0001,200,25.88354769538652
0.15,0.0001,250,25.88354769538652
0.15,0.001,100,26.08949339126199
0.15,0.001,150,26.08949339126199
0.15,0.001,200,26.08949339126199
0.15,0.001,250,26.08949339126199
0.15,0.01,100,26.720910169084753
0.15,0.01,150,26.720910169084753
0.15,0.01,200,26.720910169084753
0.15,0.01,250,26.720910169084753
0.15,0.1,100,27.221762532692395
0.15,0.1,150,27.221762532692395
0.15,0.1,200,27.221762532692395
0.15,0.1,250,27.221762532692395
0.2,0.0001,100,25.287658494024157
0.2,0.0001,150,25.287658494024157
0.2,0.0001,200,25.287658494024157
0.2,0.0001,250,25.287658494024157
0.2,0.001,100,25.61861372756054
0.2,0.001,150,25.61861372756054
0.2,0.001,200,25.61861372756054
0.2,0.001,250,25.61861372756054
0.2,0.01,100,26.631640704255005
0.2,0.01,150,26.631640704255005
0.2,0.01,200,26.631640704255005
0.2,0.01,250,26.631640704255005
0.2,0.1,100,27.214350345906276
0.2,0.1,150,27.214350345906276
0.2,0.1,200,27.214350345906276
0.2,0.1,250,27.214350345906276
