sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,bior3.1,soft,3,False,VisuShrink,True,18.243111344981315
0.001,bior3.1,soft,3,False,VisuShrink,False,18.243111344981315
0.001,bior3.1,hard,,False,BayesShrink,True,18.04164156801635
0.001,bior3.1,hard,,False,BayesShrink,False,18.04164156801635
0.001,bior3.1,hard,,False,VisuShrink,True,18.041524364040452
0.001,bior3.1,hard,,False,VisuShrink,False,18.041524364040452
0.001,bior3.1,hard,1,False,BayesShrink,True,18.04164156801635
0.001,bior3.1,hard,1,False,BayesShrink,False,18.04164156801635
0.001,bior3.1,hard,1,False,VisuShrink,True,18.04158056621866
0.001,bior3.1,hard,1,False,VisuShrink,False,18.04158056621866
0.001,bior3.1,hard,2,False,BayesShrink,True,18.04164156801635
0.001,bior3.1,hard,2,False,BayesShrink,False,18.04164156801635
0.001,bior3.1,hard,2,False,VisuShrink,True,18.04152018791024
0.001,bior3.1,hard,2,False,VisuShrink,False,18.04152018791024
0.001,bior3.1,hard,3,False,BayesShrink,True,18.04164156801635
0.001,bior3.1,hard,3,False,BayesShrink,False,18.04164156801635
0.001,bior3.1,hard,3,False,VisuShrink,True,18.041524364040452
0.001,bior3.1,hard,3,False,VisuShrink,False,18.041524364040452
0.001,bior3.3,soft,,False,BayesShrink,True,18.042082700652525
0.001,bior3.3,soft,,False,BayesShrink,False,18.042082700652525
0.001,bior3.3,soft,,False,VisuShrink,True,18.23865384458709
0.001,bior3.3,soft,,False,VisuShrink,False,18.23865384458709
0.001,bior3.3,soft,1,False,BayesShrink,True,18.042082700652525
0.001,bior3.3,soft,1,False,BayesShrink,False,18.042082700652525
0.001,bior3.3,soft,1,False,VisuShrink,True,18.23865384458709
0.001,bior3.3,soft,1,False,VisuShrink,False,18.23865384458709
0.001,bior3.3,soft,2,False,BayesShrink,True,18.0420963664694
0.001,bior3.3,soft,2,False,BayesShrink,False,18.0420963664694
0.001,bior3.3,soft,2,False,VisuShrink,True,18.25709555770023
0.001,bior3.3,soft,2,False,VisuShrink,False,18.25709555770023
0.001,bior3.3,soft,3,False,BayesShrink,True,18.042097147332356
0.001,bior3.3,soft,3,False,BayesShrink,False,18.042097147332356
0.001,bior3.3,soft,3,False,VisuShrink,True,18.258948964703762
0.001,bior3.3,soft,3,False,VisuShrink,False,18.258948964703762
0.001,bior3.3,hard,,False,BayesShrink,True,18.041641573116685
0.001,bior3.3,hard,,False,BayesShrink,False,18.041641573116685
0.001,bior3.3,hard,,False,VisuShrink,True,18.04154583305313
0.001,bior3.3,hard,,False,VisuShrink,False,18.04154583305313
0.001,bior3.3,hard,1,False,BayesShrink,True,18.041641573116685
0.001,bior3.3,hard,1,False,BayesShrink,False,18.041641573116685
0.001,bior3.3,hard,1,False,VisuShrink,True,18.04154583305313
0.001,bior3.3,hard,1,False,VisuShrink,False,18.04154583305313
0.001,bior3.3,hard,2,False,BayesShrink,True,18.041641573116685
0.001,bior3.3,hard,2,False,BayesShrink,False,18.041641573116685
0.001,bior3.3,hard,2,False,VisuShrink,True,18.041506085598197
0.001,bior3.3,hard,2,False,VisuShrink,False,18.041506085598197
0.001,bior3.3,hard,3,False,BayesShrink,True,18.041641573116685
0.001,bior3.3,hard,3,False,BayesShrink,False,18.041641573116685
0.001,bior3.3,hard,3,False,VisuShrink,True,18.04151142833929
0.001,bior3.3,hard,3,False,VisuShrink,False,18.04151142833929
0.001,rbio1.1,soft,,False,BayesShrink,True,18.04201578601353
0.001,rbio1.1,soft,,False,BayesShrink,False,18.04201578601353
0.001,rbio1.1,soft,,False,VisuShrink,True,18.260711736858596
0.001,rbio1.1,soft,,False,VisuShrink,False,18.260711736858596
0.001,rbio1.1,soft,1,False,BayesShrink,True,18.041952330559656
0.001,rbio1.1,soft,1,False,BayesShrink,False,18.041952330559656
0.001,rbio1.1,soft,1,False,VisuShrink,True,18.217982197662877
0.001,rbio1.1,soft,1,False,VisuShrink,False,18.217982197662877
0.001,rbio1.1,soft,2,False,BayesShrink,True,18.04201138051925
0.001,rbio1.1,soft,2,False,BayesShrink,False,18.04201138051925
0.001,rbio1.1,soft,2,False,VisuShrink,True,18.257295130231334
0.001,rbio1.1,soft,2,False,VisuShrink,False,18.257295130231334
0.001,rbio1.1,soft,3,False,BayesShrink,True,18.04201629016486
0.001,rbio1.1,soft,3,False,BayesShrink,False,18.04201629016486
0.001,rbio1.1,soft,3,False,VisuShrink,True,18.26192426462289
0.001,rbio1.1,soft,3,False,VisuShrink,False,18.26192426462289
0.001,rbio1.1,hard,,False,BayesShrink,True,18.041641535622702
0.001,rbio1.1,hard,,False,BayesShrink,False,18.041641535622702
0.001,rbio1.1,hard,,False,VisuShrink,True,18.041727861136
0.001,rbio1.1,hard,,False,VisuShrink,False,18.041727861136
0.001,rbio1.1,hard,1,False,BayesShrink,True,18.041641535622706
0.001,rbio1.1,hard,1,False,BayesShrink,False,18.041641535622706
0.001,rbio1.1,hard,1,False,VisuShrink,True,18.041680170043445
0.001,rbio1.1,hard,1,False,VisuShrink,False,18.041680170043445
0.001,rbio1.1,hard,2,False,BayesShrink,True,18.041641535622702
0.001,rbio1.1,hard,2,False,BayesShrink,False,18.041641535622702
0.001,rbio1.1,hard,2,False,VisuShrink,True,18.041724941970465
0.001,rbio1.1,hard,2,False,VisuShrink,False,18.041724941970465
0.001,rbio1.1,hard,3,False,BayesShrink,True,18.041641535622702
0.001,rbio1.1,hard,3,False,BayesShrink,False,18.041641535622702
0.001,rbio1.1,hard,3,False,VisuShrink,True,18.04173343639745
0.001,rbio1.1,hard,3,False,VisuShrink,False,18.04173343639745
0.001,rbio2.2,soft,,False,BayesShrink,True,18.041960476527784
0.001,rbio2.2,soft,,False,BayesShrink,False,18.041960476527784
0.001,rbio2.2,soft,,False,VisuShrink,True,18.241178831333418
0.001,rbio2.2,soft,,False,VisuShrink,False,18.241178831333418
0.001,rbio2.2,soft,1,False,BayesShrink,True,18.041882752381582
0.001,rbio2.2,soft,1,False,BayesShrink,False,18.041882752381582
0.001,rbio2.2,soft,1,False,VisuShrink,True,18.195054728881594
0.001,rbio2.2,soft,1,False,VisuShrink,False,18.195054728881594
0.001,rbio2.2,soft,2,False,BayesShrink,True,18.041960476527784
0.001,rbio2.2,soft,2,False,BayesShrink,False,18.041960476527784
0.001,rbio2.2,soft,2,False,VisuShrink,True,18.241178831333418
0.001,rbio2.2,soft,2,False,VisuShrink,False,18.241178831333418
0.001,rbio2.2,soft,3,False,BayesShrink,True,18.041965051198723
0.001,rbio2.2,soft,3,False,BayesShrink,False,18.041965051198723
0.001,rbio2.2,soft,3,False,VisuShrink,True,18.24496558097208
0.001,rbio2.2,soft,3,False,VisuShrink,False,18.24496558097208
0.001,rbio2.2,hard,,False,BayesShrink,True,18.041641541808772
0.001,rbio2.2,hard,,False,BayesShrink,False,18.041641541808772
0.001,rbio2.2,hard,,False,VisuShrink,True,18.041692330756018
0.001,rbio2.2,hard,,False,VisuShrink,False,18.041692330756018
0.001,rbio2.2,hard,1,False,BayesShrink,True,18.041641541808772
0.001,rbio2.2,hard,1,False,BayesShrink,False,18.041641541808772
0.001,rbio2.2,hard,1,False,VisuShrink,True,18.041608006542997
0.001,rbio2.2,hard,1,False,VisuShrink,False,18.041608006542997
0.001,rbio2.2,hard,2,False,BayesShrink,True,18.041641541808772
0.001,rbio2.2,hard,2,False,BayesShrink,False,18.041641541808772
0.001,rbio2.2,hard,2,False,VisuShrink,True,18.041692330756018
0.001,rbio2.2,hard,2,False,VisuShrink,False,18.041692330756018
0.001,rbio2.2,hard,3,False,BayesShrink,True,18.041641541808772
0.001,rbio2.2,hard,3,False,BayesShrink,False,18.041641541808772
0.001,rbio2.2,hard,3,False,VisuShrink,True,18.041698201883374
0.001,rbio2.2,hard,3,False,VisuShrink,False,18.041698201883374
0.001,dmey,soft,,False,BayesShrink,True,18.009344009429036
0.001,dmey,soft,,False,BayesShrink,False,18.009344009429036
0.001,dmey,soft,,False,VisuShrink,True,18.187880915463953
0.001,dmey,soft,,False,VisuShrink,False,18.187880915463953
0.001,dmey,soft,1,False,BayesShrink,True,18.009344009429036
0.001,dmey,soft,1,False,BayesShrink,False,18.009344009429036
0.001,dmey,soft,1,False,VisuShrink,True,18.187880915463953
0.001,dmey,soft,1,False,VisuShrink,False,18.187880915463953
0.001,dmey,soft,2,False,BayesShrink,True,18.00409368620634
0.001,dmey,soft,2,False,BayesShrink,False,18.00409368620634
0.001,dmey,soft,2,False,VisuShrink,True,18.225623676839604
0.001,dmey,soft,2,False,VisuShrink,False,18.225623676839604
0.001,dmey,soft,3,False,BayesShrink,True,18.005162155055512
0.001,dmey,soft,3,False,BayesShrink,False,18.005162155055512
0.001,dmey,soft,3,False,VisuShrink,True,18.23218887303699
0.001,dmey,soft,3,False,VisuShrink,False,18.23218887303699
0.001,dmey,hard,,False,BayesShrink,True,18.00902397309123
0.001,dmey,hard,,False,BayesShrink,False,18.00902397309123
0.001,dmey,hard,,False,VisuShrink,True,18.009088006941326
0.001,dmey,hard,,False,VisuShrink,False,18.009088006941326
0.001,dmey,hard,1,False,BayesShrink,True,18.00902397309123
0.001,dmey,hard,1,False,BayesShrink,False,18.00902397309123
0.001,dmey,hard,1,False,VisuShrink,True,18.009088006941326
0.001,dmey,hard,1,False,VisuShrink,False,18.009088006941326
0.001,dmey,hard,2,False,BayesShrink,True,18.003704969178738
0.001,dmey,hard,2,False,BayesShrink,False,18.003704969178738
0.001,dmey,hard,2,False,VisuShrink,True,18.00375939162208
0.001,dmey,hard,2,False,VisuShrink,False,18.00375939162208
0.001,dmey,hard,3,False,BayesShrink,True,18.004767458098378
0.001,dmey,hard,3,False,BayesShrink,False,18.004767458098378
0.001,dmey,hard,3,False,VisuShrink,True,18.004802196994284
0.001,dmey,hard,3,False,VisuShrink,False,18.004802196994284
0.001,haar,soft,,False,BayesShrink,True,18.04201578601353
0.001,haar,soft,,False,BayesShrink,False,18.04201578601353
0.001,haar,soft,,False,VisuShrink,True,18.260711736858596
0.001,haar,soft,,False,VisuShrink,False,18.260711736858596
0.001,haar,soft,1,False,BayesShrink,True,18.041952330559656
0.001,haar,soft,1,False,BayesShrink,False,18.041952330559656
0.001,haar,soft,1,False,VisuShrink,True,18.217982197662877
0.001,haar,soft,1,False,VisuShrink,False,18.217982197662877
0.001,haar,soft,2,False,BayesShrink,True,18.04201138051925
0.001,haar,soft,2,False,BayesShrink,False,18.04201138051925
0.001,haar,soft,2,False,VisuShrink,True,18.257295130231334
0.001,haar,soft,2,False,VisuShrink,False,18.257295130231334
0.001,haar,soft,3,False,BayesShrink,True,18.04201629016486
0.001,haar,soft,3,False,BayesShrink,False,18.04201629016486
0.001,haar,soft,3,False,VisuShrink,True,18.26192426462289
0.001,haar,soft,3,False,VisuShrink,False,18.26192426462289
0.001,haar,hard,,False,BayesShrink,True,18.041641535622702
0.001,haar,hard,,False,BayesShrink,False,18.041641535622702
0.001,haar,hard,,False,VisuShrink,True,18.041727861136
0.001,haar,hard,,False,VisuShrink,False,18.041727861136
0.001,haar,hard,1,False,BayesShrink,True,18.041641535622706
0.001,haar,hard,1,False,BayesShrink,False,18.041641535622706
0.001,haar,hard,1,False,VisuShrink,True,18.041680170043445
0.001,haar,hard,1,False,VisuShrink,False,18.041680170043445
0.001,haar,hard,2,False,BayesShrink,True,18.041641535622702
0.001,haar,hard,2,False,BayesShrink,False,18.041641535622702
0.001,haar,hard,2,False,VisuShrink,True,18.041724941970465
0.001,haar,hard,2,False,VisuShrink,False,18.041724941970465
0.001,haar,hard,3,False,BayesShrink,True,18.041641535622702
0.001,haar,hard,3,False,BayesShrink,False,18.041641535622702
0.001,haar,hard,3,False,VisuShrink,True,18.04173343639745
0.001,haar,hard,3,False,VisuShrink,False,18.04173343639745
