sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,db3,hard,2,False,BayesShrink,False,18.04164154338249
0.001,db3,hard,2,False,VisuShrink,True,18.041692471324243
0.001,db3,hard,2,False,VisuShrink,False,18.041692471324243
0.001,db3,hard,3,False,BayesShrink,True,18.04164154338249
0.001,db3,hard,3,False,BayesShrink,False,18.04164154338249
0.001,db3,hard,3,False,VisuShrink,True,18.04170202417314
0.001,db3,hard,3,False,VisuShrink,False,18.04170202417314
0.001,db4,soft,,False,BayesShrink,True,18.041963776117882
0.001,db4,soft,,False,BayesShrink,False,18.041963776117882
0.001,db4,soft,,False,VisuShrink,True,18.222235494771557
0.001,db4,soft,,False,VisuShrink,False,18.222235494771557
0.001,db4,soft,1,False,BayesShrink,True,18.041963776117882
0.001,db4,soft,1,False,BayesShrink,False,18.041963776117882
0.001,db4,soft,1,False,VisuShrink,True,18.222235494771557
0.001,db4,soft,1,False,VisuShrink,False,18.222235494771557
0.001,db4,soft,2,False,BayesShrink,True,18.042032107922154
0.001,db4,soft,2,False,BayesShrink,False,18.042032107922154
0.001,db4,soft,2,False,VisuShrink,True,18.265129887648058
0.001,db4,soft,2,False,VisuShrink,False,18.265129887648058
0.001,db4,soft,3,False,BayesShrink,True,18.042037809471108
0.001,db4,soft,3,False,BayesShrink,False,18.042037809471108
0.001,db4,soft,3,False,VisuShrink,True,18.27035138271705
0.001,db4,soft,3,False,VisuShrink,False,18.27035138271705
0.001,db4,hard,,False,BayesShrink,True,18.041641542239923
0.001,db4,hard,,False,BayesShrink,False,18.041641542239923
0.001,db4,hard,,False,VisuShrink,True,18.041676833963393
0.001,db4,hard,,False,VisuShrink,False,18.041676833963393
0.001,db4,hard,1,False,BayesShrink,True,18.041641542239923
0.001,db4,hard,1,False,BayesShrink,False,18.041641542239923
0.001,db4,hard,1,False,VisuShrink,True,18.041676833963393
0.001,db4,hard,1,False,VisuShrink,False,18.041676833963393
0.001,db4,hard,2,False,BayesShrink,True,18.041641542239923
0.001,db4,hard,2,False,BayesShrink,False,18.041641542239923
0.001,db4,hard,2,False,VisuShrink,True,18.04167908260947
0.001,db4,hard,2,False,VisuShrink,False,18.04167908260947
0.001,db4,hard,3,False,BayesShrink,True,18.041641542239923
0.001,db4,hard,3,False,BayesShrink,False,18.041641542239923
0.001,db4,hard,3,False,VisuShrink,True,18.041699469322346
0.001,db4,hard,3,False,VisuShrink,False,18.041699469322346
0.001,db5,soft,,False,BayesShrink,True,18.041962330345346
0.001,db5,soft,,False,BayesShrink,False,18.041962330345346
0.001,db5,soft,,False,VisuShrink,True,18.220696527546124
0.001,db5,soft,,False,VisuShrink,False,18.220696527546124
0.001,db5,soft,1,False,BayesShrink,True,18.041962330345346
0.001,db5,soft,1,False,BayesShrink,False,18.041962330345346
0.001,db5,soft,1,False,VisuShrink,True,18.220696527546124
0.001,db5,soft,1,False,VisuShrink,False,18.220696527546124
0.001,db5,soft,2,False,BayesShrink,True,18.042031350380768
0.001,db5,soft,2,False,BayesShrink,False,18.042031350380768
0.001,db5,soft,2,False,VisuShrink,True,18.26362277720909
